casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx
14591	3.81287339225	465.138640903996	386.102	2	1	4	5	3	1	1	1	1	9
1517	3.96680668975	320.806156193177	643.55	1	1	1	3	2	1	3	2	2	5
14412	5.59699020625	622.740843994512	1011.25	1	1	1	1	3	1	4	3	2	8
7578	4.35878609975	264.55	387.7	1	1	1	3	2	1	2	2	1	11
2923	5.38500818675	69.28	263.59	1	1	2	4	2	1	1	1	1	5
5499	3.523361671	244.871672848157	320.87	2	2	4	5	3	1	2	2	1	5
5345	3.93194862625	557.082792770488	616.414	2	1	4	5	3	1	2	2	1	8
7444	3.8313174155	860.513270967262	926.41	1	1	1	3	3	2	3	3	1	11
1871	5.3428545385	801.722035855922	674.439743589744	1	1	1	1	3	1	2	2	1	6
9640	5.43737422475	100.423514546569	147.362	2	2	4	5	3	1	1	1	1	4
9307	6.04149495125	839.414356594421	1085.1925	1	1	1	1	3	1	4	2	3	8
6598	4.809410933	339.127848854673	711.51	1	1	1	1	3	2	2	2	1	3
4953	4.700731003	139.189230769231	275.28	2	1	4	4	1	2	2	1	2	6
3289	4.67382700175	458.568762631358	442.63	1	1	1	3	1	1	4	3	2	11
6861	6.32690302025	998.101635381174	1184.99	1	1	1	2	3	2	2	2	1	8
5442	11.7749520805	1175	814.75	1	1	1	3	2	1	5	4	1	7
3130	4.11943262	451.486148645023	648.27	1	1	1	2	3	1	2	2	1	8
5425	4.839645515	596.23936793845	1041.53	1	1	1	1	2	2	1	1	1	7
6534	8.59253809925	792.09224733767	921.93	1	1	1	1	2	1	2	2	1	2
8492	4.1226355905	480.845778422702	327.89	2	1	4	5	3	1	1	1	1	2
14262	5.57005482675	164.809373918696	336.34	1	1	1	1	2	2	1	1	1	8
8503	4.67241362475	401.535441679812	484.77	2	1	4	5	3	1	3	3	1	9
2308	4.1226355905	266.873317998386	342.27	2	2	4	5	3	1	1	1	1	2
4297	2.80646471525	958.86173339068	687.54	1	1	1	2	3	2	3	2	2	8
13896	4.80690066525	429.865121528983	615.43	1	2	1	3	3	1	1	1	1	3
2657	5.9453209875	395.571292987572	267.994	2	1	4	5	3	1	2	2	1	7
4050	5.6125099895	477.237135365386	307.29	2	1	4	4	3	1	3	2	2	6
7448	5.26289872	355.490419659673	1184.99	1	1	1	1	3	1	3	2	2	7
11069	5.79303887875	347.075621815861	782.1375	1	1	1	2	3	1	1	1	1	8
3447	4.09191134075	207.759928213166	443.484	2	2	4	5	3	1	2	2	1	10
7483	6.34452705	592.233828959368	1184.99	1	1	1	3	3	1	3	2	2	8
14516	4.46603676325	303.174309489671	717.47	1	1	1	1	3	1	4	2	3	3
6102	3.01538166925	129.159661028537	292.634	2	2	4	5	3	2	2	2	1	10
2616	7.08705089975	194.063479475596	242.292	2	2	4	5	3	2	1	1	1	6
8731	4.88692126825	622.213475312358	622.3475	2	1	2	1	3	1	3	3	1	9
8122	3.28322726575	316.48376392595	328	1	1	1	3	3	2	2	1	2	5
5169	4.23960709975	700.635	687.455	1	1	1	2	3	1	2	2	1	12
4658	3.995203068	70.915	124.2375	2	2	4	5	2	2	1	1	1	5
9604	5.67128804675	861.587423095369	1184.99	1	1	1	1	3	1	4	4	1	2
10901	5.8315630395	678.682740695551	893.99	1	1	1	1	3	2	4	2	3	2
9849	4.8733291235	523.196068142411	532.17	1	1	1	3	3	1	4	2	3	6
4866	4.463977898	179.395	137.712	2	1	4	5	1	2	1	1	1	9
7053	5.30990025825	571.559366796196	464.82	1	2	2	3	3	2	2	2	1	8
7291	4.49850722	375.261907972936	567.5	1	1	1	3	2	1	4	2	3	3
10398	5.54116306	364.148559983822	587.13	1	1	1	3	3	1	2	2	1	6
5998	4.571986207	107.605	225.642	2	2	4	4	1	1	1	1	1	1
8029	4.19922991425	169.759230769231	330.272	2	2	4	5	1	1	2	2	1	1
2973	2.98346821475	501.92723821684	404.47	2	1	1	1	3	2	4	1	3	9
9636	8.5328579355	674.333227576599	902.56	2	1	4	5	3	1	4	3	2	5
1997	4.3412160985	222.237545716376	273.29	1	1	1	1	1	2	1	1	1	3
6801	5.19764553825	452.462707463182	568.63	1	1	1	3	1	1	4	2	3	6
376	4.3933753925	209.275296729044	131.165	2	2	4	5	3	1	1	1	1	9
5777	4.246825677	132.943141558043	90	2	1	4	5	1	2	2	1	2	10
7184	6.58069551375	121.32	190.202	2	2	4	5	1	2	1	1	1	6
12645	5.59403223525	323.275716596155	326.392	1	1	4	5	1	2	2	2	1	7
4209	3.4672556655	497.635	1026.44	1	1	1	1	2	1	3	2	2	3
6599	6.8117595025	911.307770679142	1184.99	1	1	1	1	3	2	2	2	1	7
1946	4.10231489775	1067.04563788692	926.2675	1	1	1	1	3	2	3	3	1	6
3691	3.94284587225	252.148993040586	486.2925	1	2	1	3	3	1	1	1	1	9
5966	5.3879999595	568.822333733456	1128.16	1	1	1	1	2	1	4	2	3	9
330	4.21746123525	499.073811163266	749.225897435897	1	1	1	1	3	2	1	1	1	8
13473	4.649036857	237.34694970311	472.66	1	1	1	2	3	1	4	2	3	5
1901	3.07559174675	769.332968289432	1184.99	1	1	4	5	3	2	5	4	3	4
2745	5.07423307525	491.625505943173	508.86	1	2	1	2	2	2	1	1	1	3
4504	5.5217299475	432.5034267	616.04	1	1	1	1	3	2	4	2	3	12
6203	3.63414608325	264.138555605345	313.7	2	1	2	3	2	2	3	1	3	3
10274	4.5684770815	553.402252874664	1063.132	2	1	1	2	3	2	2	2	1	7
13047	4.30391516075	196.192707774627	341.234	2	2	4	5	3	1	2	2	1	11
11795	4.07332382925	215.9095908523	557.15	2	1	1	3	3	2	3	2	2	4
6268	4.70838361425	617.904438693764	924.144	1	1	4	5	3	1	3	3	1	7
7815	6.47288672875	616.09773181684	429.91	1	1	2	1	3	2	2	1	2	9
13961	5.1375047775	555.055776916688	609.44	1	1	1	1	3	1	3	2	2	9
12368	3.6068132325	208.743431690873	246.44	1	1	1	3	1	2	1	1	1	1
10978	5.82552032425	443.527859414571	243.082	2	2	4	5	3	2	1	1	1	9
13705	5.96626747625	275.300545450715	1184.99	1	1	1	1	3	1	1	1	1	8
8435	3.9177664065	16.025	136.002	2	2	4	5	1	1	1	1	1	3
5643	2.87112424825	409.121333347937	661.914	1	1	1	3	3	2	2	2	1	4
1404	3.92070743575	1175	1184.99	1	1	1	1	3	1	3	3	1	8
9115	3.96853539175	182.457157410654	349.212	1	1	2	3	3	1	2	2	1	5
10696	2.5759617885	407.226241286575	436.78	2	1	1	2	3	1	5	2	3	1
7367	3.31720998975	255.587774793633	167.39	2	1	1	2	3	2	2	1	2	2
533	5.84528809975	900.305464364085	1109.97	1	1	1	1	3	2	2	2	1	3
9552	4.54284386075	589.885122536902	366.2	2	1	2	3	3	2	3	2	2	6
2942	5.1114004275	1175	1184.99	1	1	1	4	3	1	3	3	1	8
8919	4.29400714025	281.443294382777	677.74	1	1	1	1	3	1	2	2	1	8
6230	7.14278407925	683.454838066274	1121.51	1	1	1	4	3	1	4	2	3	2
6791	3.4127533085	521.303112208892	474.79	1	1	1	2	3	1	2	2	1	11
8270	5.49277722025	853.74853997532	987.817692307692	1	1	1	1	3	1	4	2	3	8
11156	4.29883538525	495.846253842975	873.41	1	1	1	3	3	1	2	2	1	4
9609	3.90390479325	331.490303039074	685.03	2	1	4	5	3	1	2	2	1	2
6334	2.886887077	736.12502210922	1045.4575	1	1	1	1	3	2	4	4	1	3
8325	5.65019208025	379.455	357.842	1	1	2	4	2	2	2	2	1	2
6234	4.77134446725	657.82005474536	1184.99	1	1	1	1	3	1	1	1	1	3
14710	8.216654495	497.549612172954	926.93	1	1	1	3	3	1	4	3	2	2
5034	4.82633278225	1063.82917154557	1184.99	1	1	1	1	3	1	3	3	1	6
1631	3.75963309675	451.40120294877	1137.74	1	1	1	1	3	1	3	2	2	4
7121	4.1669699	335.337496850828	647.652	2	1	4	5	3	1	2	2	1	6
6844	6.18604004075	120.515	199.65	2	2	4	5	3	1	2	2	1	12
14211	3.91321641625	422.375773204843	1066.8	1	1	1	3	3	1	4	3	2	1
551	3.76284732525	339.589848948072	747.484358974359	1	1	1	1	3	1	2	2	1	8
13186	6.030249166	144.252006746116	65	2	1	3	4	3	1	1	1	1	10
6659	5.62098554275	297.650690206207	482.17	1	2	1	3	3	1	2	1	2	4
11800	3.9492715	85.585	151.77	2	2	4	5	1	2	2	1	2	6
3938	4.04355894775	429.687453194406	425.32	1	1	1	2	3	2	1	1	1	8
3831	6.3833218145	382.945708991592	370.3	2	1	4	5	3	2	2	2	1	7
2001	3.6530272225	434.104115762972	528.34	1	1	2	3	3	1	2	2	1	5
14363	9.05753431325	399.086092071817	813.84	1	1	1	3	3	2	3	2	2	8
3531	6.92473032875	256.368900298973	534.5	1	1	1	1	2	1	2	2	1	11
8846	4.06344229375	611.808910386995	854.422	2	1	1	2	3	1	2	2	1	6
12010	6.94516311925	643.94164385931	997.0175	1	1	1	1	3	2	5	2	3	8
9732	3.408982729	207.179082637912	487.362	2	2	4	5	3	1	2	2	1	9
378	4.033191961	501.270085329326	475.6	2	1	1	2	3	2	3	1	3	8
7410	6.55982670175	224.415963208771	387.57	1	1	1	3	3	1	1	1	1	11
9892	5.2176773785	864.591755532205	991.917692307692	1	1	1	1	2	1	3	2	2	6
4129	4.3412160985	121.558854805827	136.8725	2	1	4	5	3	2	1	1	1	3
5874	3.92159039575	478.115999688715	1184.99	1	1	1	1	3	1	3	2	2	4
13423	5.33394248125	83.3426197145591	180.102	2	2	4	5	3	2	1	1	1	2
13450	3.6530272225	298.281846247973	620.02	1	1	1	3	2	1	2	2	1	5
10171	5.41899196475	150.883494476452	459.604	2	2	4	5	3	2	2	2	1	5
6684	4.34254488375	477.189317874907	644.47	1	1	1	3	3	1	2	2	1	5
13429	4.874152547	723.8	1087.24	2	1	4	5	3	1	2	2	1	12
3657	5.080023741	106.41	139.172	2	2	4	5	3	2	1	1	1	2
4569	5.42963677525	343.175488355539	483.52	1	1	2	3	1	2	4	3	2	2
14428	4.19775203425	672.830721545606	723.55	1	1	1	3	2	1	5	3	3	4
7523	3.4127533085	1175	727.235	1	1	1	3	3	1	2	2	1	11
9176	2.93683546075	283.231724822766	423.694	2	1	4	5	3	1	2	2	1	10
6067	4.51519394875	375.261646076989	854.454	2	1	4	5	3	2	2	2	1	2
8639	2.884450785	763.160208848195	706.01	1	1	1	2	3	1	2	2	1	4
3515	3.49514142525	268.83787189366	385.144	2	1	4	5	3	1	2	2	1	1
11417	4.23425747375	544.92227172638	1184.99	1	1	1	1	3	2	4	2	3	3
12391	7.44603117575	675.031981277812	1184.99	1	1	2	1	3	1	3	3	1	7
9997	4.14054765025	196.593034004078	1067.31	2	2	4	5	3	2	1	1	1	5
3271	6.08300754375	481.54740686986	1184.99	1	1	1	1	3	2	2	2	1	2
10363	2.95915870275	142.095	309.4	2	1	4	5	1	1	5	2	3	6
5720	3.946263691	332.738516832886	326.687	2	1	4	5	3	2	1	1	1	9
6619	4.2174723015	693.738412631235	1039.51743589744	1	1	1	1	3	1	4	2	3	8
7089	3.909198504	804.402796107772	1184.99	1	1	2	2	3	2	2	2	1	6
437	3.7555145495	467.518003936114	682.73	2	1	4	5	3	1	2	2	1	11
12236	4.470207266	359.782556299824	455.79	1	1	1	2	3	1	2	2	1	2
4102	3.914084331	284.675235240896	480.704	2	2	4	5	3	2	2	2	1	8
14457	4.61432834675	603.905240170721	810.023076923077	1	1	1	1	3	1	4	2	3	2
14407	6.155920248	192.255261169491	132.6	2	2	4	5	1	2	2	1	2	11
6342	3.8175569775	856.479419891705	1184.99	1	1	1	1	3	1	2	2	1	2
3160	5.40871036925	804.468230051793	967.14	1	1	1	1	3	1	4	2	3	3
936	3.61611145375	159.569478548663	339.2925	1	1	1	3	3	2	1	1	1	2
12728	6.1011242255	575.805954292904	784.23	1	1	1	1	2	1	2	2	1	10
9119	6.46518366225	203.865639767399	369	1	1	1	3	3	1	1	1	1	1
6991	3.3501989805	805.772200277961	1184.99	2	1	4	5	3	1	2	2	1	11
5975	3.92646381775	599.375977518674	1152.06	1	1	1	2	3	2	4	2	3	7
6502	3.26060915275	434.39678895877	77.75	2	1	3	4	2	2	2	1	2	7
4735	5.3717276875	468.044438693764	757.55	1	1	1	1	3	1	2	2	1	7
4968	5.044294825	79.795	135.29	2	2	4	5	1	2	1	1	1	4
5494	3.75235378125	635.289127709571	906.82	1	1	2	2	3	2	3	2	2	9
4506	5.81234151	324.845	250.66	2	1	3	4	2	2	4	1	3	8
452	5.737098286	627.670568343173	447.61	1	1	1	1	2	1	1	1	1	3
7592	3.96853539175	408.278065000884	450.39	1	1	1	2	3	1	2	2	1	5
5790	4.4769611165	911.156931412177	1184.99	1	1	1	1	3	1	2	2	1	7
12853	5.74381817275	1175	1184.99	1	1	2	2	3	2	3	2	2	6
6459	3.6855901865	665.611778442256	1184.99	1	1	1	1	3	1	2	2	1	2
7442	8.24197472325	288.816532445799	354.780384615385	1	1	1	3	2	1	1	1	1	4
4577	4.3770971285	248.787149746692	238.82	2	1	4	5	1	2	2	2	1	1
5948	5.45246957025	112.72	95.3	2	1	4	5	2	2	2	1	2	5
201	5.0282809505	337.807435897436	284.167	2	1	2	1	3	2	2	2	1	8
5915	4.9464914445	275.754404143966	245.725	2	1	3	4	2	1	4	2	3	11
4343	4.582974805	513.749841881119	458.37717948718	1	1	1	3	1	1	3	3	1	2
7652	2.93993329425	835.255340955869	933.52	1	1	1	1	3	1	3	2	2	1
12459	5.68557572175	393.189300094681	394.622	2	1	3	3	3	2	2	2	1	11
11659	3.94540679875	287.213020013588	359.42	1	1	1	3	3	1	3	2	2	1
4696	4.128086121	606.495448709233	1184.99	1	1	1	1	3	1	4	2	3	6
5680	5.311548633	171.56038636341	178.502	2	2	4	5	1	2	1	1	1	7
14994	6.13707097775	552.418498065038	720.51	1	1	1	1	3	1	4	2	3	9
1708	3.54583411925	764.785587797395	887.8165	2	1	4	5	3	1	2	2	1	5
4976	3.87384638075	771.332396580196	662.214	2	2	4	5	3	2	2	2	1	8
7451	3.15762845	427.558361247431	715.2525	1	1	1	1	3	2	2	2	1	2
8758	3.9866413045	123.323543815192	274.854	2	2	4	5	3	1	2	2	1	5
13622	4.15756332	462.304648791664	350.12	1	1	1	3	2	2	1	1	1	4
1695	5.17640708625	221.191451979235	416.55	1	2	1	3	3	1	3	2	2	11
13580	5.052568714	224.991800865114	320	1	2	1	3	3	1	1	1	1	2
2164	6.95979965025	1032.57310292473	508.065	1	1	1	1	3	1	2	2	1	7
4282	3.87703260575	267.59	632.194	2	2	4	5	3	1	2	2	1	8
10707	4.76749495	319.186820886061	130.302	2	2	4	5	3	2	1	1	1	11
11297	4.29332923425	306.73	223.6665	2	2	4	5	3	2	2	2	1	12
1734	4.808953208	50.59	139.597	2	2	4	5	1	2	1	1	1	3
5455	6.008014336	216.997307692308	102.652	2	2	4	5	1	2	1	1	1	6
999	5.858785719	302.790936831627	861.1925	1	1	1	1	2	1	1	1	1	2
6652	7.16414885275	1175	1184.99	1	1	1	1	3	2	5	2	3	6
4719	3.80676124675	386.916665944417	233.541025641026	1	1	2	3	3	1	2	2	1	3
11283	3.62466805575	407.241091382594	309.67	1	1	2	3	3	2	2	1	2	5
14081	5.81706841875	171.015396744052	177.002	2	2	4	5	3	1	1	1	1	8
779	5.88691738375	321.854575837883	703.71	2	1	4	4	3	1	4	4	1	1
10137	5.381168733	174.673692546553	222.602	2	2	4	5	3	1	1	1	1	3
635	5.283526622	453.69532396705	708.872	2	1	4	5	3	1	2	2	1	10
14930	3.45008401975	409.303469408164	550.984	2	1	4	5	3	1	2	2	1	3
14690	9.10768037675	332.844979031764	577.78	1	1	1	1	3	1	1	1	1	2
9154	3.359514521	764.878420316869	313.83	2	2	4	5	3	1	2	2	1	3
7013	4.634593725	264.807970981553	335.82	1	1	1	1	3	2	1	1	1	5
1238	9.0564909585	650.535	606.61	1	1	1	3	1	2	5	4	2	5
8554	4.38385907875	197.711753070674	498.25	1	2	1	3	3	1	1	1	1	3
2521	5.658781204	91.94	20.3	2	1	3	4	2	1	2	1	2	7
12688	3.5104515695	531.553457063079	1184.99	1	1	1	1	3	2	3	2	2	1
6881	4.39306300675	281.223716864608	338.312	2	2	2	3	3	2	2	2	1	10
11462	4.98613639325	119.62	133.3	2	1	4	5	1	2	2	1	2	12
3685	5.32447494725	149.019918754344	346.17	1	1	1	2	2	1	1	1	1	8
3156	6.286098779	494.842421961146	1184.99	1	1	1	1	2	1	4	2	3	7
9581	4.30975769775	322.147906519654	830.9	1	1	1	3	2	1	4	2	3	9
4736	5.401023843	525.089657329118	964.7	1	1	1	2	3	1	2	2	1	9
728	4.79949002075	497.794865887624	359.207	2	1	4	5	3	1	1	1	1	9
12921	5.86412111625	162.261306339471	212.4	1	2	1	3	1	1	1	1	1	2
13531	6.03135126725	426.4292376	312.11	2	1	4	4	3	1	5	4	2	12
3518	8.378420747	542.432572522093	453.91	1	1	1	1	3	2	2	2	1	7
9701	5.2723972905	178.948570744175	193.032	1	1	2	2	1	2	1	1	1	10
4473	6.54669008075	1014.78091549132	1184.99	1	1	1	1	3	1	1	1	1	7
2810	8.5546675805	650.155506229357	397.5	1	1	1	2	2	1	3	2	2	7
7706	6.203690292	605.445120249807	1001.06	1	1	1	3	3	2	4	4	1	8
3819	2.607034064	121.05	433.1	2	1	1	1	2	2	4	1	3	4
13771	4.26070627175	399.289032944151	561.27	1	1	1	2	3	1	2	2	1	6
5398	6.3355522395	515.225614973262	780.68	1	1	1	2	2	2	3	2	2	2
8365	3.9168109365	581.342059375952	1184.99	1	1	1	2	3	1	2	2	1	4
9903	4.042740049	879.577751820187	1184.99	1	1	1	1	3	1	2	2	1	9
2080	3.61611145375	1003.63698696673	644.98	1	1	1	1	2	2	1	1	1	2
7714	5.2842851	463.397278362361	447.76	1	1	3	4	1	2	5	2	3	8
243	3.23845610325	798.954245961212	360.91	2	1	1	2	3	1	2	2	1	8
12674	5.289965848	172.121253775227	336.65	1	1	1	1	2	2	1	1	1	3
6654	5.90799637225	156.669244286759	268	1	2	1	3	1	1	1	1	1	11
14807	5.728765393	1032.95061950351	1184.99	1	1	1	1	3	1	2	2	1	8
10421	4.52823830825	176.894417620707	608.602	2	1	4	5	3	1	1	1	1	2
4671	3.226794884	871.867428706003	963.4575	2	1	4	5	3	1	2	2	1	4
8854	3.956867339	494.118363796351	235.1475	2	2	4	5	3	1	1	1	1	9
6844	5.3791027645	1175	1184.99	1	1	1	1	3	1	4	2	3	7
2453	5.21441483075	1175	33.7	2	1	4	5	3	2	3	1	3	2
12079	4.48541522	1175	1184.99	1	1	2	1	3	1	4	3	2	9
1877	3.92048888525	124.353461538462	79	2	2	4	5	2	2	1	1	1	3
10699	4.3023403565	196.207192514949	205.7075	2	2	4	5	2	2	1	1	1	2
4611	3.17626477825	282.322644807573	472.770769230769	1	1	1	2	3	2	1	1	1	1
1677	3.2273854895	148.499426628545	309.454	2	2	4	5	1	1	2	2	1	11
11399	5.9453209875	307.070461013675	331.734	2	2	4	5	3	1	2	2	1	7
2294	3.922492229	87.4357692307692	65	2	2	1	3	1	2	1	1	1	8
3169	3.67804419	642.624761350188	1061.58	1	1	1	1	3	1	4	2	3	7
9849	7.83179658025	918.175544777968	1183.36	1	1	1	1	3	1	4	2	3	9
3170	5.42081579675	537.275485773438	1146.92	1	1	1	1	3	2	4	4	1	9
12620	3.53584684325	285.014568594482	863.91	2	1	4	4	3	1	2	2	1	6
10336	3.93439547425	263.62917787841	104.733205128205	1	2	1	1	3	2	1	1	1	5
11209	4.7346915175	173.971469660943	78.88	2	2	4	5	3	2	1	1	1	11
12661	4.4186615945	728.395613431779	555.434	2	1	4	5	3	1	2	2	1	8
7347	5.869892461	880.837835594351	1064.6	1	1	1	1	3	2	2	2	1	11
4660	6.030249166	172.250167703528	123	2	2	3	4	2	1	1	1	1	10
2840	6.6470879875	219.842660534193	342.634	2	2	4	5	3	1	2	2	1	8
10288	3.6512269835	217.500085760512	278.2	1	1	1	3	1	2	1	1	1	1
4976	5.547376584	238.978681320568	439.73	1	2	1	2	3	1	2	1	2	5
6110	5.737098286	200.238679452055	412.65	1	1	1	3	3	1	1	1	1	3
6780	7.8970083975	352.524200580513	426.012	1	1	1	3	3	1	3	2	2	7
6978	5.20843916875	1175	1184.99	1	1	1	1	3	1	4	2	3	4
13595	3.51677344025	611.951819337524	387.337	2	2	4	5	3	1	2	2	1	6
7020	5.7144761595	708.635812157245	818.564	2	1	4	5	3	1	2	2	1	8
6800	5.542430843	804.487066513493	480.805	1	1	1	1	3	1	4	2	3	7
8619	3.87391939025	91.58	304.492	1	2	1	2	3	1	1	1	1	8
9049	4.075598179	254.219877392555	408.38	1	1	1	3	2	2	1	1	1	6
13042	3.4542608965	258.68668325631	454.4	1	2	1	3	3	2	1	1	1	8
3584	3.93677687125	345.987214188267	414.434	2	2	4	5	1	1	2	2	1	4
1023	3.1613192515	1175	659.0625	1	1	1	2	3	2	4	2	3	7
11823	5.5574009795	397.68	282	2	2	2	3	1	2	3	2	2	8
10662	3.1943139415	470.621050822107	475.0815	2	1	2	3	3	1	2	2	1	4
9506	3.30915837175	256.802433952752	365.68	1	1	1	1	3	2	1	1	1	4
12181	3.523361671	425.880154988508	413.084	2	1	4	5	3	1	2	2	1	5
13500	3.0281688495	328.130483415667	664.7	1	1	1	3	3	1	4	2	3	11
3938	3.23845610325	529.101456752969	1143.05	1	1	1	4	3	2	2	2	1	8
7698	3.61367952975	125.233515052396	215.002	2	2	4	5	3	1	1	1	1	2
2269	6.10309555625	260.83	109.46	2	1	4	4	2	2	2	1	2	12
2716	5.74032786675	180.230739058472	76.92	1	1	1	2	2	1	1	1	1	9
3075	3.842257674	194.26	168.2	2	2	4	5	2	2	3	1	3	12
3313	4.40306209425	571.572682913544	460.4195	2	2	4	5	3	2	1	1	1	3
6824	3.512194409	1175	1184.99	1	1	1	1	3	2	2	2	1	8
13446	5.8863699245	456.172538512215	241.65	1	1	2	3	2	2	2	2	1	2
12059	4.74489482975	446.747719123411	409.652	2	1	4	5	3	2	1	1	1	4
7233	5.64026052075	304.921455049807	504.805	1	1	3	3	3	1	3	3	1	8
3904	4.24867162175	542.387618436701	693.14	1	1	1	2	3	1	4	2	3	1
13687	5.078104132	479.418286341906	617.127	2	1	4	5	3	1	1	1	1	5
2297	5.3289012045	213.827031093298	1184.99	1	1	1	1	3	1	2	2	1	3
11525	3.30421569925	122.075	209	2	1	4	5	2	2	2	1	2	1
7278	7.60889729475	357.178919996134	320.23	1	1	3	4	3	2	3	2	2	5
14985	5.159812199	612.222855804668	920.52	1	1	1	1	3	1	2	2	1	3
12548	4.7050738265	496.002076453792	749.61	1	1	1	3	3	1	2	2	1	5
13768	4.5228801175	506.568021013055	574.09	1	1	1	3	3	1	2	2	1	6
6317	3.93400036	263.2111726688	461.74	1	1	2	3	3	2	2	2	1	2
6356	4.463977898	262.260646186543	237.9395	2	1	4	5	3	2	1	1	1	9
7598	4.35072009725	275.831225607484	922.4675	1	1	1	2	3	1	3	3	1	5
5390	7.64704645375	187.752049967118	171	2	1	3	4	2	1	3	2	2	11
10445	5.0418721045	97.5881838	200.992	2	1	4	4	3	1	1	1	1	1
2395	5.39078881325	534.777669536712	587.35	1	2	1	3	3	1	5	4	2	2
5298	5.3232380295	301.565	185.3	2	1	3	4	3	2	2	1	2	4
11606	7.78572263675	179.755	240.482	2	2	4	5	3	2	1	1	1	2
5271	4.24511227225	169.988931132635	185.002	2	2	4	5	2	1	1	1	1	6
157	3.75067982675	213.901388452656	274.422	2	1	4	5	3	1	2	2	1	10
5850	6.656818981	656.491111720656	792.31	1	1	1	2	3	1	2	2	1	7
11787	3.637450201	187.102688477952	435.634	2	1	4	5	3	1	2	2	1	9
9517	4.35393674625	95.2226557890031	193.37	2	2	4	5	3	1	1	1	1	5
5828	5.41192976075	729.267360778119	761.022	1	1	1	3	3	1	4	2	3	3
5984	4.7833298595	575.925896423085	291.287	1	1	2	1	3	2	1	1	1	11
9448	4.9227063145	520.007468865092	702.755	1	2	1	1	3	1	2	2	1	5
12048	9.56125345675	1175	1184.99	1	1	1	1	3	1	5	3	3	7
8973	4.439768703	845.684488506099	971.4325	1	1	1	3	3	2	3	2	2	3
4772	5.0316718375	357.45	301.56	1	1	2	2	2	2	2	2	1	12
6407	3.92052087225	563.912851101524	261.004	2	1	4	5	3	1	2	2	1	9
6750	5.39967621975	1077.30163352981	1184.99	1	1	1	1	3	1	2	2	1	6
1936	5.113896728	656.779184662571	682.16	1	1	2	3	2	2	5	3	3	3
8314	3.909198504	1059.86598958601	586.634	2	1	4	5	3	1	2	2	1	6
715	4.02934643725	149.925963140916	206.319	2	2	4	5	3	1	2	2	1	9
8482	8.7576792615	76.6401705310972	246.372	2	2	4	5	3	2	1	1	1	11
1672	5.37032710625	572.07137929691	774.62	1	1	1	3	3	1	3	3	1	6
3196	5.3923243885	269.641840464578	1184.99	1	1	2	3	3	1	3	3	1	10
11320	4.83647455525	290.362388981335	526.287	2	2	4	5	3	1	1	1	1	7
10646	3.9597713525	143.15	203.55	2	1	3	4	1	1	3	2	2	2
